
natural spline
             x          Natural CS          N_Error(%) 
       3.020000       59.5429006421        0.0028562443
       3.030000       59.8143755181        0.0028012747
       3.040000       60.0864328964        0.0027176531
       3.050000       60.3590745281        0.0026086701
       3.060000       60.6323021639        0.0024775591
       3.070000       60.9061175548        0.0023274966
       3.080000       61.1805224517        0.0021616035
       3.090000       61.4555186055        0.0019829458
       3.100000       61.7311077669        0.0017945357
       3.110000       62.0072916869        0.0015993326
       3.120000       62.2840721165        0.0014002435
       3.130000       62.5614508064        0.0012001247
       3.140000       62.8394295075        0.0010017816
       3.150000       63.1180099708        0.0008079706
       3.160000       63.3971939471        0.0006213990
       3.170000       63.6769831873        0.0004447267
       3.180000       63.9573794422        0.0002805661
       3.190000       64.2383844629        0.0001314836
       3.200000       64.5200000000        0.0000000000
       3.210000       64.8022274026        0.0001120290
       3.220000       65.0850664119        0.0002052512
       3.230000       65.3685163669        0.0002809190
       3.240000       65.6525766070        0.0003402642
       3.250000       65.9372464713        0.0003844985
       3.260000       66.2225252991        0.0004148132
       3.270000       66.5084124294        0.0004323804
       3.280000       66.7949072016        0.0004383524
       3.290000       67.0820089549        0.0004338628
       3.300000       67.3697170283        0.0004200263
       3.310000       67.6580307612        0.0003979391
       3.320000       67.9469494927        0.0003686793
       3.330000       68.2364725621        0.0003333073
       3.340000       68.5265993085        0.0002928657
       3.350000       68.8173290711        0.0002483799
       3.360000       69.1086611892        0.0002008583
       3.370000       69.4005950019        0.0001512925
       3.380000       69.6931298485        0.0001006576
       3.390000       69.9862650681        0.0000499124
       3.400000       70.2800000000        0.0000000000
       3.410000       70.5743340950        0.0000483109
       3.420000       70.8692672512        0.0000948948
       3.430000       71.1647994780        0.0001397855
       3.440000       71.4609307851        0.0001830165
       3.450000       71.7576611821        0.0002246205
       3.460000       72.0549906786        0.0002646300
       3.470000       72.3529192843        0.0003030769
       3.480000       72.6514470088        0.0003399927
       3.490000       72.9505738616        0.0003754085
       3.500000       73.2502998525        0.0004093549
       3.510000       73.5506249910        0.0004418622
       3.520000       73.8515492867        0.0004729600
       3.530000       74.1530727492        0.0005026779
       3.540000       74.4551953883        0.0005310447
       3.550000       74.7579172134        0.0005580890
       3.560000       75.0612382342        0.0005838390
       3.570000       75.3651584604        0.0006083224
       3.580000       75.6696779015        0.0006315667
       3.590000       75.9747965671        0.0006535988
       3.600000       76.2805144669        0.0006744454
       3.610000       76.5868316105        0.0006941327
       3.620000       76.8937480075        0.0007126866
       3.630000       77.2012636676        0.0007301327
       3.640000       77.5093786003        0.0007464962
       3.650000       77.8180928152        0.0007618019
       3.660000       78.1274063220        0.0007760743
